;funcao;grupo;obs
1;;superior;todos os ativos na folha são nivel superior
2;Abatedor;basico;
3;Administrador;superior;
4;Advogado;superior;
5;Agente de Inovação;superior;
6;Agente de Relacoes Internacionais;tecnico;
7;Agente de Vigilância;tecnico;
8;Almoxarife;tecnico;
9;Analista Acadêmico;superior;
10;Analista Assuntos Administrativos;superior;
11;Analista Contábil Financeiro;superior;
12;Analista de Comunicação;superior;
13;Analista de Comunicacao Social;superior;nao encontrado no PCF
14;Analista de Comunicacao Visual;superior;
15;Analista de O&M;superior;nao encontrado no PCF
16;Analista de Recursos Humanos;superior;
17;Analista de Sistemas;superior;
18;Armador;basico;
19;Arquiteto;superior;
20;Arte Finalista;tecnico;
21;Ascensorista;basico;
22;Assessor;superior;nao encontrado no PCF
23;Assistente;superior;
24;Assistente Administrativo;tecnico;nao encontrado no PCF, todos da EEL
25;Assistente Administrativo Especializado;tecnico;nao encontrado no PCF, todos da EEL
26;Assistente Social;superior;
27;Assistente Técnico;tecnico;nao encontrado no PCF, todos da EEL
28;Assistente Técnico Especializado;tecnico;
29;Atendente de Classe;basico;
30;Atendente de Enfermagem;basico;
31;Ator;tecnico;
32;Auditor;superior;
33;Aux de Inspecao de Carne e Laticinio;basico;
34;Aux Documentação e Informação;basico;
35;Auxiliar Academico;basico;
36;Auxiliar Administrativo;basico;
37;Auxiliar Agropecuario;basico;
38;Auxiliar Contábil e Financeiro;basico;
39;Auxiliar de Administração;basico;
40;Auxiliar de Apoio Educativo;basico;
41;Auxiliar de Biotério;basico;
42;Auxiliar de Caixa;basico;
43;Auxiliar de Comunicação;basico;
44;Auxiliar de Consultório Dentário;basico;
45;Auxiliar de Cozinha;basico;
46;Auxiliar de Enfermagem;basico;
47;Auxiliar de Ensino;superior;
48;Auxiliar de Esporte;basico;
49;Auxiliar de Laboratorio;basico;
50;Auxiliar de Laboratório;basico;
51;Auxiliar de Lavanderia;basico;
52;Auxiliar de Manutenção;basico;
53;Auxiliar de Manutenção/obras;basico;
54;Auxiliar de Materiais;basico;
55;Auxiliar de Museu;basico;
56;Auxiliar de Necropsia;basico;
57;Auxiliar de Recursos Humanos;basico;
58;Auxiliar de Saude;basico;
59;Auxiliar de Serviços Gerais;basico;
60;Auxiliar de Topografo Agrimensor;basico;
61;Auxiliar Gráfico;basico;
62;Bibliotecário;superior;
63;Biblioteconomista;superior;nao encontrado no PCF
64;Biologista;superior;ativos são docentes, inativos constam como superior
65;Biólogo;superior;
66;Bioquímico;superior;uma pessoa na EEL
67;Carpinteiro;basico;
68;Cenotecnico;tecnico;
69;Cirurgião Dentista;superior;
70;Concertino (s);superior;
71;Contador;superior;
72;Contínuo;basico;
73;Copeiro;basico;
74;Copista e Arquivista Musical;superior;
75;Costureiro;basico;
76;Cozinheiro;basico;
77;Desenhista;tecnico;
78;Desenhista Arte Finalista;tecnico;nao encontrado no PCF
79;Desenhista Copista;basico;
80;Desenhista Projetista;tecnico;
81;Diagramador;tecnico;
82;Digitador;basico;
83;Discotecario;tecnico;inativo
84;Editor;superior;
85;Educador;superior;
86;Educador Em Praticas Desportivas;superior;
87;Eletricista;basico;
88;Encadernador;tecnico;inativo
89;Encanador;basico;
90;Encanador Industrial;tecnico;nao encontrado no PCF
91;Enfermeiro;superior;
92;Enfermeiro do Trabalho;superior;
93;Engenheiro;superior;
94;Engenheiro de Seguranca do Trabalho;superior;
95;Espec Cooperação Extensão Universit;superior;
96;Especialista;superior;
97;Especialista Conservacao e Restauro;superior;
98;Especialista de Eventos;superior;inativo
99;Especialista em Biotério;superior;
100;Especialista em Compras;superior;
101;Especialista em Document Museologica;superior;
102;Especialista em Laboratório;superior;
103;Especialista em Pesq Apoio de Museu;superior;
104;Especialista em Projetos Exposição;superior;
105;Especialista em Proteção Radiológica;superior;
106;Especialista Museografia Exposicao;superior;
107;Estatistico Matematico;superior;
108;Farmacêutico;superior;
109;Físico;superior;
110;Fisico Protecao Radiologica;superior;
111;Fisioterapeuta;superior;
112;Fonoaudiólogo;superior;
113;Fotógrafo;tecnico;
114;Fotógrafo Especialista;superior;
115;Funileiro;basico;
116;Garcom;basico;
117;Geografo;superior;
118;Geólogo;superior;
119;Inspetor de Carne e Laticinio;tecnico;
120;Inspetor de Orquestra;tecnico;
121;Instrumentista de Fila (s);superior;
122;Instrumentista de Fila (t);tecnico;
123;Instrutor de Línguas;superior;
124;Jardineiro;basico;
125;Jornalista;superior;
126;Lactarista;basico;
127;Locutor;tecnico;
128;Locutor/operador;tecnico;
129;Marceneiro;basico;
130;Marceneiro Carpinteiro;basico;
131;Mecânico;basico;
132;Mecânico Manutenção;basico;
133;Médico;superior;
134;Médico do Trabalho;superior;
135;Médico Veterinário;superior;
136;Medico Veterinario Zootecnista;superior;
137;Meio Oficial Marceneiro Carpinteiro;basico;nao encontrado no PCF
138;Meio Oficial Pedreiro;basico;
139;Meio Oficial Pintor;basico;
140;Mestre de Embarcacao;tecnico;
141;Montador de Orquestra;basico;
142;Motorista;basico;
143;Motorista Maritimo;basico;
144;Não Informada;basico;todos os ativos são nivel basico, no IO
145;Nutricionista;superior;
146;Oficial Ar Condicionado Refrigeração;basico;
147;Operador de Audiovisual;tecnico;
148;Operador de Caldeira;basico;
149;Operador de Computador;tecnico;nao encontrado no PCF, todos da EEL
150;Operador de Máquinas;basico;
151;Operador de Som;tecnico;
152;Operador de Telemonitoramento;basico;
153;Orientador de Arte Dramatica;superior;
154;Orient de Estrut Musical Tec Vocal;superior;
155;Passador;basico;inativo
156;Pedreiro;basico;
157;Pescador;basico;
158;Pianista Cravista (s);superior;
159;Pintor;basico;
160;Porteiro;basico;
161;Procurador;superior;
162;Produtor de Comunicacao Visual;superior;
163;Produtor de Radio;superior;
164;Professor;superior;
165;Professor Associado;superior;
166;Professor Cálculo Numérico;superior;
167;Professor Catedratico;superior;
168;Professor Colaborador;superior;
169;Professor Contratado;superior;
170;Professor de História;superior;
171;Professor de Português;superior;
172;Professor de Química;superior;
173;Professor Doutor;superior;
174;Professor Dr. Cálculo Numérico;superior;
175;Professor Dr. Química;superior;
176;Professor Educ. Artística;superior;
177;Professor Geografia;superior;
178;Professor Titular;superior;
179;Programador Computador;tecnico;nao encontrado no PCF, todos da EEL
180;Programador de Sistemas;tecnico;inativo
181;Programador Musical;tecnico;
182;Psicólogo;superior;
183;Publicitario;superior;
184;Químico;superior;
185;Recepcionista;basico;
186;Regente Assistente;superior;
187;Regente Titular e Diretor Artistico;superior;
188;Relacoes Publicas;superior;
189;Revisor;superior;
190;Salva Vidas;basico;
191;Secretária;tecnico;
192;Secretária Executiva;superior;
193;Secretário;tecnico;
194;Secretario Executivo;superior;
195;Segundo Solista (s);superior;
196;Segundo Solista (t);tecnico;
197;Serralheiro;basico;
198;Servente;basico;
199;Soldador;basico;
200;Sonoplasta Iluminador;tecnico;
201;Supervisor de Vigilancia;tecnico;nao encontrado no PCF
202;Tec Assuntos Administrativos;tecnico;
203;Tec em Equip Hospitalar Clínico;tecnico;
204;Técnico Acadêmico;tecnico;
205;Tecnico Agricola;tecnico;
206;Técnico Assuntos Financeiros;tecnico;
207;Técnico Contábil e Financeiro;tecnico;
208;Técnico de Apoio Educativo;tecnico;
209;Técnico de Biotério;tecnico;
210;Técnico de Comunicação;tecnico;
211;Tecnico de Documentação e Informação;tecnico;
212;Técnico de Enfermagem;tecnico;
213;Técnico de Enfermagem do Trabalho;tecnico;
214;Técnico de Gráfica;tecnico;
215;Técnico de Laboratório;tecnico;
216;Técnico de Manutenção;tecnico;
217;Técnico de Manutenção Eletrônica;tecnico;
218;Técnico de Manutenção/obras;tecnico;
219;Tecnico de Museu;tecnico;
220;Técnico de Necropsia;tecnico;
221;Técnico de Obras;tecnico;
222;Técnico de Recursos Humanos;tecnico;
223;Tecnico de Rede de Computador;tecnico;
224;Técnico de Segurança do Trabalho;tecnico;
225;Tecnico de Telecomunicacoes;tecnico;
226;Técnico em Compras;tecnico;
227;Tecnico Em Higiene Dental;tecnico;
228;Técnico em Informática;tecnico;
229;Técnico em Mecânica;tecnico;
230;Técnico em Mecatronica;tecnico;
231;Técnico em Nutrição e Dietética;tecnico;
232;Técnico em Prótese Dentária;tecnico;
233;Técnico em Radiologia;tecnico;
234;Tecnico Em Vidraria;tecnico;
235;Tecnico Juridico;tecnico;
236;Tecnólogo;superior;
237;Telefonista;basico;
238;Terapeuta Ocupacional;superior;
239;Terapeuta Ocupacional Fisioterapeuta;superior;
240;Topografo Agrimensor;tecnico;
241;Torneiro;basico;
242;Torneiro Mecanico;basico;
243;Tratador de Agua;basico;
244;Vendedor;basico;
245;Vidraceiro;basico;
246;Vigia;basico;
247;Violino Spalla (s);superior;
248;Visitador Sanitario;tecnico;
249;Webdesigner;superior;
250;Zelador;basico;
251;Zootecnista;superior;
